Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Gestation, Max Offspring, Storage, Reproductive Urge, Eye Color
147.4504,0,0,0,247,0,0,0,0,0,0,0
147.9055,0,0,0,248,0,0,0,0,0,0,0
148.3531,0,0,0,249,0,0,0,0,0,0,0
148.7923,0,0,0,250,0,0,0,0,0,0,0
149.2508,0,0,0,251,0,0,0,0,0,0,0
149.6876,0,0,0,252,0,0,0,0,0,0,0
150.1254,0,0,0,253,0,0,0,0,0,0,0
150.5632,0,0,0,254,0,0,0,0,0,0,0
150.9946,0,0,0,255,0,0,0,0,0,0,0
151.4278,0,0,0,256,0,0,0,0,0,0,0
151.871,0,0,0,257,0,0,0,0,0,0,0
152.3007,0,0,0,258,0,0,0,0,0,0,0
152.7602,0,0,0,259,0,0,0,0,0,0,0
153.2213,0,0,0,260,0,0,0,0,0,0,0
153.7062,0,0,0,261,0,0,0,0,0,0,0
154.1933,0,0,0,262,0,0,0,0,0,0,0
154.6435,0,0,0,263,0,0,0,0,0,0,0
155.0961,0,0,0,264,0,0,0,0,0,0,0
155.5591,0,0,0,265,0,0,0,0,0,0,0
156.0232,0,0,0,266,0,0,0,0,0,0,0
156.5052,0,0,0,267,0,0,0,0,0,0,0
156.9885,0,0,0,268,0,0,0,0,0,0,0
157.4928,0,0,0,269,0,0,0,0,0,0,0
158.0233,0,0,0,270,0,0,0,0,0,0,0
158.4867,0,0,0,271,0,0,0,0,0,0,0
159.005,0,0,0,272,0,0,0,0,0,0,0
159.5019,0,0,0,273,0,0,0,0,0,0,0
159.9935,0,0,0,274,0,0,0,0,0,0,0
160.4402,0,0,0,275,0,0,0,0,0,0,0
160.9035,0,0,0,276,0,0,0,0,0,0,0
161.3772,0,0,0,277,0,0,0,0,0,0,0
161.8731,0,0,0,278,0,0,0,0,0,0,0
162.3228,0,0,0,279,0,0,0,0,0,0,0
162.7792,0,0,0,280,0,0,0,0,0,0,0
163.2372,0,0,0,281,0,0,0,0,0,0,0
163.6944,0,0,0,282,0,0,0,0,0,0,0
164.1494,0,0,0,283,0,0,0,0,0,0,0
164.611,0,0,0,284,0,0,0,0,0,0,0
165.0694,0,0,0,285,0,0,0,0,0,0,0
165.5412,0,0,0,286,0,0,0,0,0,0,0
166.0877,0,0,0,287,0,0,0,0,0,0,0
166.571,0,0,0,288,0,0,0,0,0,0,0
167.0694,0,0,0,289,0,0,0,0,0,0,0
167.545,0,0,0,290,0,0,0,0,0,0,0
168.016,0,0,0,291,0,0,0,0,0,0,0
168.4947,0,0,0,292,0,0,0,0,0,0,0
168.9913,0,0,0,293,0,0,0,0,0,0,0
169.4777,0,0,0,294,0,0,0,0,0,0,0
169.9553,0,0,0,295,0,0,0,0,0,0,0
170.4616,0,0,0,296,0,0,0,0,0,0,0
170.9224,0,0,0,297,0,0,0,0,0,0,0
171.4226,0,0,0,298,0,0,0,0,0,0,0
171.9213,0,0,0,299,0,0,0,0,0,0,0
172.4203,0,0,0,300,0,0,0,0,0,0,0
172.9177,0,0,0,301,0,0,0,0,0,0,0
173.45,0,0,0,302,0,0,0,0,0,0,0
173.9541,0,0,0,303,0,0,0,0,0,0,0
174.4762,0,0,0,304,0,0,0,0,0,0,0
174.9585,0,0,0,305,0,0,0,0,0,0,0
175.4399,0,0,0,306,0,0,0,0,0,0,0
175.9045,0,0,0,307,0,0,0,0,0,0,0
176.3889,0,0,0,308,0,0,0,0,0,0,0
176.8517,0,0,0,309,0,0,0,0,0,0,0
177.3171,0,0,0,310,0,0,0,0,0,0,0
177.8235,0,0,0,311,0,0,0,0,0,0,0
178.3333,0,0,0,312,0,0,0,0,0,0,0
178.8219,0,0,0,313,0,0,0,0,0,0,0
179.3239,0,0,0,314,0,0,0,0,0,0,0
179.7989,0,0,0,315,0,0,0,0,0,0,0
180.272,0,0,0,316,0,0,0,0,0,0,0
180.7549,0,0,0,317,0,0,0,0,0,0,0
181.2325,0,0,0,318,0,0,0,0,0,0,0
181.7365,0,0,0,319,0,0,0,0,0,0,0
182.2643,0,0,0,320,0,0,0,0,0,0,0
182.7292,0,0,0,321,0,0,0,0,0,0,0
183.2568,0,0,0,322,0,0,0,0,0,0,0
183.7961,0,0,0,323,0,0,0,0,0,0,0
184.2649,0,0,0,324,0,0,0,0,0,0,0
184.7348,0,0,0,325,0,0,0,0,0,0,0
185.2069,0,0,0,326,0,0,0,0,0,0,0
185.6654,0,0,0,327,0,0,0,0,0,0,0
186.1448,0,0,0,328,0,0,0,0,0,0,0
186.621,0,0,0,329,0,0,0,0,0,0,0
187.0829,0,0,0,330,0,0,0,0,0,0,0
187.5934,0,0,0,331,0,0,0,0,0,0,0
188.1059,0,0,0,332,0,0,0,0,0,0,0
188.6037,0,0,0,333,0,0,0,0,0,0,0
189.2109,0,0,0,334,0,0,0,0,0,0,0
189.7184,0,0,0,335,0,0,0,0,0,0,0
190.2159,0,0,0,336,0,0,0,0,0,0,0
190.7356,0,0,0,337,0,0,0,0,0,0,0
191.2538,0,0,0,338,0,0,0,0,0,0,0
191.756,0,0,0,339,0,0,0,0,0,0,0
192.2749,0,0,0,340,0,0,0,0,0,0,0
192.7901,0,0,0,341,0,0,0,0,0,0,0
193.2877,0,0,0,342,0,0,0,0,0,0,0
193.813,0,0,0,343,0,0,0,0,0,0,0
194.3216,0,0,0,344,0,0,0,0,0,0,0
194.8023,0,0,0,345,0,0,0,0,0,0,0
195.31,0,0,0,346,0,0,0,0,0,0,0
195.825,0,0,0,347,0,0,0,0,0,0,0
196.3448,0,0,0,348,0,0,0,0,0,0,0
196.849,0,0,0,349,0,0,0,0,0,0,0
197.3428,0,0,0,350,0,0,0,0,0,0,0
197.8324,0,0,0,351,0,0,0,0,0,0,0
198.3329,0,0,0,352,0,0,0,0,0,0,0
198.8568,0,0,0,353,0,0,0,0,0,0,0
199.3615,0,0,0,354,0,0,0,0,0,0,0
199.8792,0,0,0,355,0,0,0,0,0,0,0
200.4575,0,0,0,356,0,0,0,0,0,0,0
200.9699,0,0,0,357,0,0,0,0,0,0,0
201.5127,0,0,0,358,0,0,0,0,0,0,0
202.0673,0,0,0,359,0,0,0,0,0,0,0
202.619,0,0,0,360,0,0,0,0,0,0,0
203.1997,0,0,0,361,0,0,0,0,0,0,0
203.7448,0,0,0,362,0,0,0,0,0,0,0
204.2274,0,0,0,363,0,0,0,0,0,0,0
204.7447,0,0,0,364,0,0,0,0,0,0,0
205.2515,0,0,0,365,0,0,0,0,0,0,0
205.7472,0,0,0,366,0,0,0,0,0,0,0
206.2818,0,0,0,367,0,0,0,0,0,0,0
206.7993,0,0,0,368,0,0,0,0,0,0,0
207.3355,0,0,0,372,0,0,0,0,0,0,0
207.9035,0,0,0,376,0,0,0,0,0,0,0
208.4363,0,0,0,378,0,0,0,0,0,0,0
208.9404,0,0,0,379,0,0,0,0,0,0,0
209.4544,0,0,0,380,0,0,0,0,0,0,0
209.9447,0,0,0,381,0,0,0,0,0,0,0
210.3718,0,0,0,382,0,0,0,0,0,0,0
210.8542,0,0,0,383,0,0,0,0,0,0,0
211.3452,0,0,0,384,0,0,0,0,0,0,0
211.8227,0,0,0,385,0,0,0,0,0,0,0
212.3115,0,0,0,386,0,0,0,0,0,0,0
212.8286,0,0,0,387,0,0,0,0,0,0,0
213.3043,0,0,0,388,0,0,0,0,0,0,0
213.8535,0,0,0,389,0,0,0,0,0,0,0
214.4058,0,0,0,390,0,0,0,0,0,0,0
214.9154,0,0,0,391,0,0,0,0,0,0,0
215.4977,0,0,0,392,0,0,0,0,0,0,0
216.0286,0,0,0,393,0,0,0,0,0,0,0
216.5301,0,0,0,394,0,0,0,0,0,0,0
217.0483,0,0,0,395,0,0,0,0,0,0,0
217.5895,0,0,0,396,0,0,0,0,0,0,0
218.1099,0,0,0,397,0,0,0,0,0,0,0
218.6292,0,0,0,398,0,0,0,0,0,0,0
219.1302,0,0,0,399,0,0,0,0,0,0,0
219.6172,0,0,0,400,0,0,0,0,0,0,0
220.1787,0,0,0,402,0,0,0,0,0,0,0
220.682,0,0,0,403,0,0,0,0,0,0,0
221.173,0,0,0,404,0,0,0,0,0,0,0
221.6645,0,0,0,405,0,0,0,0,0,0,0
222.1831,0,0,0,406,0,0,0,0,0,0,0
222.6734,0,0,0,407,0,0,0,0,0,0,0
223.1869,0,0,0,408,0,0,0,0,0,0,0
223.6826,0,0,0,409,0,0,0,0,0,0,0
224.1695,0,0,0,410,0,0,0,0,0,0,0
224.6646,0,0,0,411,0,0,0,0,0,0,0
225.1686,0,0,0,412,0,0,0,0,0,0,0
225.6632,0,0,0,413,0,0,0,0,0,0,0
226.1672,0,0,0,414,0,0,0,0,0,0,0
226.6654,0,0,0,415,0,0,0,0,0,0,0
227.1573,0,0,0,416,0,0,0,0,0,0,0
227.7168,0,0,0,417,0,0,0,0,0,0,0
228.2665,0,0,0,418,0,0,0,0,0,0,0
228.788,0,0,0,419,0,0,0,0,0,0,0
229.3089,0,0,0,420,0,0,0,0,0,0,0
229.8395,0,0,0,421,0,0,0,0,0,0,0
230.3177,0,0,0,422,0,0,0,0,0,0,0
230.8009,0,0,0,423,0,0,0,0,0,0,0
231.3019,0,0,0,424,0,0,0,0,0,0,0
231.8045,0,0,0,425,0,0,0,0,0,0,0
232.3571,0,0,0,426,0,0,0,0,0,0,0
232.9009,0,0,0,428,0,0,0,0,0,0,0
233.4195,0,0,0,429,0,0,0,0,0,0,0
233.9294,0,0,0,430,0,0,0,0,0,0,0
234.4673,0,0,0,431,0,0,0,0,0,0,0
234.9386,0,0,0,432,0,0,0,0,0,0,0
235.4382,0,0,0,433,0,0,0,0,0,0,0
235.9393,0,0,0,434,0,0,0,0,0,0,0
236.4163,0,0,0,435,0,0,0,0,0,0,0
236.8996,0,0,0,436,0,0,0,0,0,0,0
237.386,0,0,0,437,0,0,0,0,0,0,0
237.8674,0,0,0,438,0,0,0,0,0,0,0
238.3498,0,0,0,439,0,0,0,0,0,0,0
238.83,0,0,0,440,0,0,0,0,0,0,0
239.2937,0,0,0,441,0,0,0,0,0,0,0
239.8365,0,0,0,442,0,0,0,0,0,0,0
240.3158,0,0,0,443,0,0,0,0,0,0,0
240.821,0,0,0,444,0,0,0,0,0,0,0
241.3062,0,0,0,445,0,0,0,0,0,0,0
241.8441,0,0,0,446,0,0,0,0,0,0,0
242.3391,0,0,0,447,0,0,0,0,0,0,0
242.8614,0,0,0,448,0,0,0,0,0,0,0
243.3818,0,0,0,449,0,0,0,0,0,0,0
243.8642,0,0,0,450,0,0,0,0,0,0,0
244.3679,0,0,0,451,0,0,0,0,0,0,0
244.904,0,0,0,452,0,0,0,0,0,0,0
245.4528,0,0,0,453,0,0,0,0,0,0,0
245.9949,0,0,0,454,0,0,0,0,0,0,0
246.5574,0,0,0,455,0,0,0,0,0,0,0
247.0804,0,0,0,456,0,0,0,0,0,0,0
247.5621,0,0,0,457,0,0,0,0,0,0,0
248.0563,0,0,0,458,0,0,0,0,0,0,0
248.5533,0,0,0,459,0,0,0,0,0,0,0
249.0368,0,0,0,460,0,0,0,0,0,0,0
249.5344,0,0,0,461,0,0,0,0,0,0,0
250.0011,0,0,0,462,0,0,0,0,0,0,0
250.483,0,0,0,463,0,0,0,0,0,0,0
250.9627,0,0,0,464,0,0,0,0,0,0,0
251.4384,0,0,0,465,0,0,0,0,0,0,0
251.9227,0,0,0,466,0,0,0,0,0,0,0
252.4583,0,0,0,467,0,0,0,0,0,0,0
252.9526,0,0,0,468,0,0,0,0,0,0,0
253.4496,0,0,0,469,0,0,0,0,0,0,0
253.9738,0,0,0,470,0,0,0,0,0,0,0
254.4513,0,0,0,471,0,0,0,0,0,0,0
254.9466,0,0,0,472,0,0,0,0,0,0,0
255.4596,0,0,0,473,0,0,0,0,0,0,0
255.9508,0,0,0,474,0,0,0,0,0,0,0
256.4635,0,0,0,475,0,0,0,0,0,0,0
256.9818,0,0,0,476,0,0,0,0,0,0,0
257.5279,0,0,0,477,0,0,0,0,0,0,0
258.0829,0,0,0,478,0,0,0,0,0,0,0
258.6499,0,0,0,479,0,0,0,0,0,0,0
259.1778,0,0,0,480,0,0,0,0,0,0,0
259.7287,0,0,0,481,0,0,0,0,0,0,0
260.2733,0,0,0,482,0,0,0,0,0,0,0
260.8321,0,0,0,483,0,0,0,0,0,0,0
261.3789,0,0,0,484,0,0,0,0,0,0,0
261.9538,0,0,0,485,0,0,0,0,0,0,0
262.4813,0,0,0,486,0,0,0,0,0,0,0
262.9942,0,0,0,487,0,0,0,0,0,0,0
263.4881,0,0,0,489,0,0,0,0,0,0,0
264.0255,0,0,0,490,0,0,0,0,0,0,0
264.5998,0,0,0,491,0,0,0,0,0,0,0
265.1704,0,0,0,492,0,0,0,0,0,0,0
265.6664,0,0,0,493,0,0,0,0,0,0,0
266.1846,0,0,0,494,0,0,0,0,0,0,0
266.7144,0,0,0,495,0,0,0,0,0,0,0
267.225,0,0,0,498,0,0,0,0,0,0,0
267.7439,0,0,0,500,0,0,0,0,0,0,0
268.3052,0,0,0,504,0,0,0,0,0,0,0
268.7997,0,0,0,507,0,0,0,0,0,0,0
269.3059,0,0,0,508,0,0,0,0,0,0,0
269.8513,0,0,0,509,0,0,0,0,0,0,0
270.3277,0,0,0,510,0,0,0,0,0,0,0
270.8841,0,0,0,511,0,0,0,0,0,0,0
271.4343,0,0,0,512,0,0,0,0,0,0,0
271.9261,0,0,0,513,0,0,0,0,0,0,0
272.4577,0,0,0,514,0,0,0,0,0,0,0
272.9763,0,0,0,515,0,0,0,0,0,0,0
273.4899,0,0,0,517,0,0,0,0,0,0,0
274.0133,0,0,0,519,0,0,0,0,0,0,0
274.5127,0,0,0,520,0,0,0,0,0,0,0
274.9964,0,0,0,521,0,0,0,0,0,0,0
275.528,0,0,0,522,0,0,0,0,0,0,0
276.0912,0,0,0,524,0,0,0,0,0,0,0
276.606,0,0,0,525,0,0,0,0,0,0,0
277.1655,0,0,0,526,0,0,0,0,0,0,0
277.7021,0,0,0,527,0,0,0,0,0,0,0
278.205,0,0,0,528,0,0,0,0,0,0,0
278.7332,0,0,0,529,0,0,0,0,0,0,0
279.28,0,0,0,530,0,0,0,0,0,0,0
279.8311,0,0,0,531,0,0,0,0,0,0,0
280.3969,0,0,0,532,0,0,0,0,0,0,0
280.9204,0,0,0,533,0,0,0,0,0,0,0
281.4783,0,0,0,534,0,0,0,0,0,0,0
282.0627,0,0,0,535,0,0,0,0,0,0,0
282.6549,0,0,0,536,0,0,0,0,0,0,0
283.1608,0,0,0,537,0,0,0,0,0,0,0
283.6851,0,0,0,538,0,0,0,0,0,0,0
