Time, Total Creatures, Predators, Prey, Trees, Speed, Look Radius, Max Offspring, Size, Eye Color, Storage, Reproductive Urge
53.406,0,0,0,126,0,0,0,0,0,0,0
54.20327,0,0,0,127,0,0,0,0,0,0,0
55.07104,0,0,0,128,0,0,0,0,0,0,0
56.04503,0,0,0,129,0,0,0,0,0,0,0
56.88035,0,0,0,130,0,0,0,0,0,0,0
57.72771,0,0,0,131,0,0,0,0,0,0,0
58.63791,0,0,0,132,0,0,0,0,0,0,0
59.5667,0,0,0,133,0,0,0,0,0,0,0
60.39973,0,0,0,134,0,0,0,0,0,0,0
61.33118,0,0,0,135,0,0,0,0,0,0,0
62.17676,0,0,0,136,0,0,0,0,0,0,0
63.10295,0,0,0,137,0,0,0,0,0,0,0
64.02123,0,0,0,138,0,0,0,0,0,0,0
64.93107,0,0,0,139,0,0,0,0,0,0,0
65.77328,0,0,0,140,0,0,0,0,0,0,0
66.64602,0,0,0,141,0,0,0,0,0,0,0
67.45993,0,0,0,142,0,0,0,0,0,0,0
68.35333,0,0,0,143,0,0,0,0,0,0,0
69.22933,0,0,0,144,0,0,0,0,0,0,0
70.06953,0,0,0,145,0,0,0,0,0,0,0
70.90465,0,0,0,146,0,0,0,0,0,0,0
71.7644,0,0,0,147,0,0,0,0,0,0,0
72.5993,0,0,0,148,0,0,0,0,0,0,0
73.44972,0,0,0,149,0,0,0,0,0,0,0
74.29161,0,0,0,150,0,0,0,0,0,0,0
75.12327,0,0,0,151,0,0,0,0,0,0,0
75.9977,0,0,0,152,0,0,0,0,0,0,0
76.85751,0,0,0,153,0,0,0,0,0,0,0
77.82196,0,0,0,154,0,0,0,0,0,0,0
78.76375,0,0,0,155,0,0,0,0,0,0,0
79.6884,0,0,0,156,0,0,0,0,0,0,0
80.58241,0,0,0,157,0,0,0,0,0,0,0
81.49598,0,0,0,158,0,0,0,0,0,0,0
82.32752,0,0,0,159,0,0,0,0,0,0,0
83.24744,0,0,0,160,0,0,0,0,0,0,0
84.09885,0,0,0,161,0,0,0,0,0,0,0
84.96712,0,0,0,162,0,0,0,0,0,0,0
85.78348,0,0,0,163,0,0,0,0,0,0,0
86.73142,0,0,0,164,0,0,0,0,0,0,0
87.57486,0,0,0,165,0,0,0,0,0,0,0
88.40082,0,0,0,166,0,0,0,0,0,0,0
89.3873,0,0,0,167,0,0,0,0,0,0,0
90.3271,0,0,0,168,0,0,0,0,0,0,0
91.28663,0,0,0,169,0,0,0,0,0,0,0
92.28714,0,0,0,170,0,0,0,0,0,0,0
93.19463,0,0,0,171,0,0,0,0,0,0,0
94.14867,0,0,0,172,0,0,0,0,0,0,0
95.09975,0,0,0,173,0,0,0,0,0,0,0
96.01406,0,0,0,174,0,0,0,0,0,0,0
96.89958,0,0,0,175,0,0,0,0,0,0,0
97.82575,0,0,0,176,0,0,0,0,0,0,0
98.79502,0,0,0,177,0,0,0,0,0,0,0
99.63076,0,0,0,178,0,0,0,0,0,0,0
100.4901,0,0,0,179,0,0,0,0,0,0,0
101.3389,0,0,0,180,0,0,0,0,0,0,0
102.439,0,0,0,181,0,0,0,0,0,0,0
103.5016,0,0,0,182,0,0,0,0,0,0,0
104.517,0,0,0,183,0,0,0,0,0,0,0
105.4705,0,0,0,184,0,0,0,0,0,0,0
106.5162,0,0,0,185,0,0,0,0,0,0,0
107.5204,0,0,0,186,0,0,0,0,0,0,0
108.3996,0,0,0,187,0,0,0,0,0,0,0
109.2504,0,0,0,188,0,0,0,0,0,0,0
110.1552,0,0,0,189,0,0,0,0,0,0,0
111.1022,0,0,0,190,0,0,0,0,0,0,0
112.0092,0,0,0,191,0,0,0,0,0,0,0
112.9492,0,0,0,192,0,0,0,0,0,0,0
113.9521,0,0,0,193,0,0,0,0,0,0,0
114.8749,0,0,0,194,0,0,0,0,0,0,0
115.9738,0,0,0,195,0,0,0,0,0,0,0
116.9292,0,0,0,196,0,0,0,0,0,0,0
117.8767,0,0,0,197,0,0,0,0,0,0,0
118.8579,0,0,0,198,0,0,0,0,0,0,0
119.7775,0,0,0,199,0,0,0,0,0,0,0
120.6205,0,0,0,200,0,0,0,0,0,0,0
121.5259,0,0,0,201,0,0,0,0,0,0,0
122.463,0,0,0,202,0,0,0,0,0,0,0
123.3561,0,0,0,203,0,0,0,0,0,0,0
124.1222,0,0,0,204,0,0,0,0,0,0,0
